Company,Image URL,Dominant Color,Color Class
Louis Vuitton,https://assets.vogue.com/photos/65e782f4e621186063605cd4/master/w_1280%2Cc_limit/00001-louis-vuitton-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 255, 255)",Light Color
Louis Vuitton,https://assets.vogue.com/photos/65e782f659e1b4ef7a9ab4cd/master/w_2560%2Cc_limit/00001-louis-vuitton-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 255, 255)",Light Color
Louis Vuitton,https://assets.vogue.com/photos/65e782fadbe716f082bf4d9b/master/w_2560%2Cc_limit/00002-louis-vuitton-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 255, 254)",Light Color
Louis Vuitton,https://assets.vogue.com/photos/65e782f98c5ec4f04a32c6bf/master/w_2560%2Cc_limit/00003-louis-vuitton-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 255, 255)",Light Color
Louis Vuitton,https://assets.vogue.com/photos/65e782fbe621186063605cd6/master/w_2560%2Cc_limit/00004-louis-vuitton-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 255, 255)",Light Color
Louis Vuitton,https://assets.vogue.com/photos/65e78302deede06582fe649a/master/w_2560%2Cc_limit/00005-louis-vuitton-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 255, 255)",Light Color
Louis Vuitton,https://assets.vogue.com/photos/65e7830366a587245211b4ae/master/w_2560%2Cc_limit/00006-louis-vuitton-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 255, 255)",Light Color
Louis Vuitton,https://assets.vogue.com/photos/65e78302f3708cd8fcc12c2c/master/w_2560%2Cc_limit/00007-louis-vuitton-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 255, 255)",Light Color
Louis Vuitton,https://assets.vogue.com/photos/65e7830be58b898f12cc8559/master/w_2560%2Cc_limit/00008-louis-vuitton-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 255, 255)",Light Color
Louis Vuitton,https://assets.vogue.com/photos/65e78309ce4743fcf72fa84d/master/w_2560%2Cc_limit/00009-louis-vuitton-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 255, 255)",Light Color
Louis Vuitton,https://assets.vogue.com/photos/65e834048b09151c400f2dde/master/w_2560%2Cc_limit/00001-louis-vuitton-fall-2024-ready-to-wear-details-credit-gorunway.JPG,"(1, 0, 0)",Dark Color
Louis Vuitton,https://assets.vogue.com/photos/65e834040ee06433e80a1cb7/master/w_2560%2Cc_limit/00002-louis-vuitton-fall-2024-ready-to-wear-details-credit-gorunway.JPG,"(203, 191, 166)",Other
Louis Vuitton,https://assets.vogue.com/photos/65e834041ca840e2b32e8363/master/w_2560%2Cc_limit/00003-louis-vuitton-fall-2024-ready-to-wear-details-credit-gorunway.JPG,"(1, 0, 0)",Dark Color
Louis Vuitton,https://assets.vogue.com/photos/65e83408615c21a1de6e5e4b/master/w_2560%2Cc_limit/00004-louis-vuitton-fall-2024-ready-to-wear-details-credit-gorunway.JPG,"(226, 191, 158)",Other
Louis Vuitton,https://assets.vogue.com/photos/65e834078f85559999cd62ff/master/w_2560%2Cc_limit/00005-louis-vuitton-fall-2024-ready-to-wear-details-credit-gorunway.JPG,"(226, 191, 152)",Other
Louis Vuitton,https://assets.vogue.com/photos/65e83408393dcd241b51fc64/master/w_2560%2Cc_limit/00006-louis-vuitton-fall-2024-ready-to-wear-details-credit-gorunway.JPG,"(2, 1, 2)",Dark Color
Louis Vuitton,https://assets.vogue.com/photos/65e8340b338d7b637197a97b/master/w_2560%2Cc_limit/00007-louis-vuitton-fall-2024-ready-to-wear-details-credit-gorunway.JPG,"(2, 1, 2)",Dark Color
Louis Vuitton,https://assets.vogue.com/photos/65e8340b927dc4512d93e957/master/w_2560%2Cc_limit/00008-louis-vuitton-fall-2024-ready-to-wear-details-credit-gorunway.JPG,"(179, 176, 166)",Other
Louis Vuitton,https://assets.vogue.com/photos/65e8340c1eadc91c27f438a6/master/w_2560%2Cc_limit/00009-louis-vuitton-fall-2024-ready-to-wear-details-credit-gorunway.JPG,"(255, 255, 252)",Light Color
